id;kod;nev
1105;39;Kovácsszénája
1106;3900;Berettyóújfalu
1107;3901;Létavértes
1108;3902;Folyás
1109;4;Mindszentgodisa
1110;40;Kővágószőlős
1111;400;Geresdlak
1112;4000;Andornaktálya
1113;4001;Besenyőtelek
1114;4002;Demjén
1115;4003;Dormánd
1116;4004;Eger
1117;4005;Egerbakta
1118;4006;Egerfarmos
1119;4007;Egerszalók
1120;4008;Egerszólát
1121;4009;Füzesabony
1122;401;Gödre
1123;4010;Kerecsend
1124;4011;Kömlő
1125;4012;Maklár
1126;4013;Mezőszemere
1127;4014;Mezőtárkány
1128;4015;Nagytálya
1129;4016;Noszvaj
1130;4017;Novaj
1131;4018;Ostoros
1132;4019;Poroszló
1133;402;Szászvár
1134;4020;Sarud
1135;4021;Szihalom
1136;4022;Tiszanána
1137;4023;Újlőrincfalva
1138;4024;Felsőtárkány
1139;4025;Nagyvisnyó
1140;4026;Szilvásvárad
1141;4027;Balaton
1142;4028;Bélapátfalva
1143;4029;Bükkszentmárton
1144;403;Drávakeresztúr
1145;4030;Mikófalva
1146;4031;Mónosbél
1147;4032;Szarvaskő
1148;4033;Erdőkövesd
1149;4034;Istenmezeje
1150;4035;Ivád
1151;4036;Kisfüzes
1152;4037;Pétervására
1153;4038;Váraszó
1154;4039;Bátor
1155;4040;Bekölce
1156;4041;Bükkszenterzsébet
1157;4042;Egerbocs
1158;4043;Egercsehi
1159;4044;Fedémes
1160;4045;Hevesaranyos
1161;4046;Szentdomonkos
1162;4047;Szúcs
1163;4048;Tarnalelesz
1164;4049;Bodony
1165;405;Okorág
1166;4050;Bükkszék
1167;4051;Mátraballa
1168;4052;Mátraderecske
1169;4053;Parád
1170;4054;Parádsasvár
1171;4055;Recsk
1172;4056;Sirok
1173;4057;Szajla
1174;4058;Terpes
1175;4059;Adács
1176;406;Szentegát
1177;4060;Aldebrő
1178;4061;Atkár
1179;4062;Átány
1180;4063;Boconád
1181;4064;Boldog
1182;4065;Csány
1183;4066;Detk
1184;4067;Domoszló
1185;4068;Ecséd
